date,shift,machine_id,unit,department,reason,duration_minutes
2026-06-01,1,TOY-02,Unit I,Weaving,Loom runout,57
2026-06-01,1,TOY-03,Unit I,Weaving,Traveller change work,26
2026-06-01,1,TOY-08,Unit I,Weaving,Full cleaning work,73
2026-06-01,1,TOY-14,Unit I,Weaving,Traveller change work,19
2026-06-01,1,TSU-08,Unit I,Weaving,Full cleaning work,111
2026-06-01,1,RF-01,Unit I,Spinning,Weft break PBM,42
2026-06-01,1,RF-02,Unit I,Spinning,Sort change work,80
2026-06-01,1,RF-12,Unit I,Spinning,Voltage fluctuation PBM,15
2026-06-01,1,VTX-01,Unit I,Spinning,Bobbin shortage,50
2026-06-01,2,TOY-01,Unit I,Weaving,Full cleaning work,122
2026-06-01,2,TOY-04,Unit I,Weaving,Maintenance - scheduled,164
2026-06-01,2,TOY-08,Unit I,Weaving,Traveller change work,19
2026-06-01,2,TOY-14,Unit I,Weaving,Full cleaning work,69
2026-06-01,2,RF-11,Unit I,Spinning,Weft break PBM,33
2026-06-01,2,VTX-01,Unit I,Spinning,Full cleaning work,67
2026-06-01,2,VTX-02,Unit I,Spinning,Maintenance - scheduled,124
2026-06-01,2,VTX-05,Unit I,Spinning,Loom runout,31
2026-06-01,2,VTX-06,Unit I,Spinning,Loom runout,35
2026-06-01,2,VTX-11,Unit I,Spinning,Loom runout,46
2026-06-01,3,TOY-02,Unit I,Weaving,Full cleaning work,69
2026-06-01,3,TSU-05,Unit I,Weaving,Sort change work,64
2026-06-01,3,TSU-07,Unit I,Weaving,Full cleaning work,65
2026-06-01,3,SUL-02,Unit I,Weaving,Full cleaning work,112
2026-06-01,3,RF-09,Unit I,Spinning,Voltage fluctuation PBM,16
2026-06-01,3,VTX-03,Unit I,Spinning,Voltage fluctuation PBM,10
2026-06-01,3,VTX-06,Unit I,Spinning,Bobbin shortage,74
2026-06-01,3,AJ-03,Unit I,Spinning,Traveller change work,21
2026-06-02,1,TOY-08,Unit I,Weaving,Traveller change work,23
2026-06-02,1,TOY-12,Unit I,Weaving,Full cleaning work,71
