machine_id,unit,department,machine_type,granularity
TOY-01,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-02,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-03,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-04,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-05,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-06,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-07,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-08,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-09,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-10,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-11,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-12,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-13,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-14,Unit I,Weaving,Toyota,synthetic_loom_number
TOY-15,Unit I,Weaving,Toyota,synthetic_loom_number
TSU-01,Unit I,Weaving,Tsudakoma,synthetic_loom_number
TSU-02,Unit I,Weaving,Tsudakoma,synthetic_loom_number
TSU-03,Unit I,Weaving,Tsudakoma,synthetic_loom_number
TSU-04,Unit I,Weaving,Tsudakoma,synthetic_loom_number
TSU-05,Unit I,Weaving,Tsudakoma,synthetic_loom_number
TSU-06,Unit I,Weaving,Tsudakoma,synthetic_loom_number
TSU-07,Unit I,Weaving,Tsudakoma,synthetic_loom_number
TSU-08,Unit I,Weaving,Tsudakoma,synthetic_loom_number
TSU-09,Unit I,Weaving,Tsudakoma,synthetic_loom_number
TSU-10,Unit I,Weaving,Tsudakoma,synthetic_loom_number
SUL-01,Unit I,Weaving,Sulzer,synthetic_loom_number
SUL-02,Unit I,Weaving,Sulzer,synthetic_loom_number
SUL-03,Unit I,Weaving,Sulzer,synthetic_loom_number
SUL-04,Unit I,Weaving,Sulzer,synthetic_loom_number
SUL-05,Unit I,Weaving,Sulzer,synthetic_loom_number
RF-01,Unit I,Spinning,RingFrame,real_grounded
RF-02,Unit I,Spinning,RingFrame,real_grounded
RF-03,Unit I,Spinning,RingFrame,real_grounded
RF-04,Unit I,Spinning,RingFrame,real_grounded
RF-05,Unit I,Spinning,RingFrame,real_grounded
RF-06,Unit I,Spinning,RingFrame,real_grounded
RF-07,Unit I,Spinning,RingFrame,real_grounded
RF-08,Unit I,Spinning,RingFrame,real_grounded
RF-09,Unit I,Spinning,RingFrame,real_grounded
RF-10,Unit I,Spinning,RingFrame,real_grounded
RF-11,Unit I,Spinning,RingFrame,real_grounded
RF-12,Unit I,Spinning,RingFrame,real_grounded
VTX-01,Unit I,Spinning,Vortex,real_grounded
VTX-02,Unit I,Spinning,Vortex,real_grounded
VTX-03,Unit I,Spinning,Vortex,real_grounded
VTX-04,Unit I,Spinning,Vortex,real_grounded
VTX-05,Unit I,Spinning,Vortex,real_grounded
VTX-06,Unit I,Spinning,Vortex,real_grounded
VTX-07,Unit I,Spinning,Vortex,real_grounded
VTX-08,Unit I,Spinning,Vortex,real_grounded
VTX-09,Unit I,Spinning,Vortex,real_grounded
VTX-10,Unit I,Spinning,Vortex,real_grounded
VTX-11,Unit I,Spinning,Vortex,real_grounded
VTX-12,Unit I,Spinning,Vortex,real_grounded
AJ-01,Unit I,Spinning,Airjet,real_grounded
AJ-02,Unit I,Spinning,Airjet,real_grounded
AJ-03,Unit I,Spinning,Airjet,real_grounded
AJ-04,Unit I,Spinning,Airjet,real_grounded
AJ-05,Unit I,Spinning,Airjet,real_grounded
