date,shift,machine_id,unit,department,machine_type,target_qty,actual_qty,efficiency_pct
2026-06-01,1,TOY-01,Unit I,Weaving,Toyota,21700,21153,97.48
2026-06-01,1,TOY-02,Unit I,Weaving,Toyota,21700,16775,77.31
2026-06-01,1,TOY-03,Unit I,Weaving,Toyota,21700,21317,98.24
2026-06-01,1,TOY-04,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-01,1,TOY-05,Unit I,Weaving,Toyota,21700,20360,93.83
2026-06-01,1,TOY-06,Unit I,Weaving,Toyota,21700,20360,93.83
2026-06-01,1,TOY-07,Unit I,Weaving,Toyota,21700,21700,100.0
2026-06-01,1,TOY-08,Unit I,Weaving,Toyota,21700,17758,81.84
2026-06-01,1,TOY-09,Unit I,Weaving,Toyota,21700,20105,92.65
2026-06-01,1,TOY-10,Unit I,Weaving,Toyota,21700,21203,97.71
2026-06-01,1,TOY-11,Unit I,Weaving,Toyota,21700,20112,92.68
2026-06-01,1,TOY-12,Unit I,Weaving,Toyota,21700,20109,92.67
2026-06-01,1,TOY-13,Unit I,Weaving,Toyota,21700,20877,96.21
2026-06-01,1,TOY-14,Unit I,Weaving,Toyota,21700,18539,85.43
2026-06-01,1,TOY-15,Unit I,Weaving,Toyota,21700,18743,86.38
2026-06-01,1,TSU-01,Unit I,Weaving,Tsudakoma,15000,13828,92.19
2026-06-01,1,TSU-02,Unit I,Weaving,Tsudakoma,15000,13490,89.94
2026-06-01,1,TSU-03,Unit I,Weaving,Tsudakoma,15000,14485,96.57
2026-06-01,1,TSU-04,Unit I,Weaving,Tsudakoma,15000,13568,90.46
2026-06-01,1,TSU-05,Unit I,Weaving,Tsudakoma,15000,13190,87.94
2026-06-01,1,TSU-06,Unit I,Weaving,Tsudakoma,15000,15000,100.0
2026-06-01,1,TSU-07,Unit I,Weaving,Tsudakoma,15000,14080,93.87
2026-06-01,1,TSU-08,Unit I,Weaving,Tsudakoma,15000,14300,95.34
2026-06-01,1,TSU-09,Unit I,Weaving,Tsudakoma,15000,13181,87.88
