date,shift,machine_id,unit,fabric_style,revenue
2026-06-01,1,TOY-01,Unit I,Excel Slub,4220.03
2026-06-01,1,TOY-02,Unit I,Liveaco Compact,3010.42
2026-06-01,1,TOY-03,Unit I,VSF Export,4631.62
2026-06-01,1,TOY-04,Unit I,VSF Export,5417.7
2026-06-01,1,TOY-05,Unit I,Liveaco Compact,4103.25
2026-06-01,1,TOY-06,Unit I,Excel Slub,4603.98
2026-06-01,1,TOY-07,Unit I,Liveaco Compact,4159.32
2026-06-01,1,TOY-08,Unit I,Excel Slub,3726.28
2026-06-01,1,TOY-09,Unit I,Liveaco Compact,4063.37
2026-06-01,1,TOY-10,Unit I,VSF Export,5047.42
2026-06-01,1,TOY-11,Unit I,Liveaco Compact,3646.72
2026-06-01,1,TOY-12,Unit I,VSF Export,4940.56
2026-06-01,1,TOY-13,Unit I,VSF Export,4702.12
2026-06-01,1,TOY-14,Unit I,Excel Slub,4269.14
2026-06-01,1,TOY-15,Unit I,Liveaco Compact,3546.32
2026-06-01,1,TSU-01,Unit I,Liveaco Compact,2553.22
2026-06-01,1,TSU-02,Unit I,VSF Export,3086.71
2026-06-01,1,TSU-03,Unit I,VSF Export,3178.4
2026-06-01,1,TSU-04,Unit I,VSF Export,3405.54
2026-06-01,1,TSU-05,Unit I,Liveaco Compact,2491.46
2026-06-01,1,TSU-06,Unit I,VSF Export,3641.0
2026-06-01,1,TSU-07,Unit I,Excel Slub,2863.15
2026-06-01,1,TSU-08,Unit I,Liveaco Compact,2585.74
2026-06-01,1,TSU-09,Unit I,VSF Export,3401.56
2026-06-01,1,TSU-10,Unit I,VSF Export,3321.33
2026-06-01,1,SUL-01,Unit I,VSF Export,613.87
2026-06-01,1,SUL-02,Unit I,Excel Slub,543.31
2026-06-01,1,SUL-03,Unit I,VSF Export,638.22
2026-06-01,1,SUL-04,Unit I,Liveaco Compact,478.06
2026-06-01,1,SUL-05,Unit I,Excel Slub,543.91
2026-06-01,2,TOY-01,Unit I,Excel Slub,4297.98
2026-06-01,2,TOY-02,Unit I,Liveaco Compact,3079.12
2026-06-01,2,TOY-03,Unit I,VSF Export,5337.05
2026-06-01,2,TOY-04,Unit I,Excel Slub,4573.03
2026-06-01,2,TOY-05,Unit I,Excel Slub,3844.49
2026-06-01,2,TOY-06,Unit I,VSF Export,4813.52
2026-06-01,2,TOY-07,Unit I,VSF Export,5127.94
2026-06-01,2,TOY-08,Unit I,Liveaco Compact,3666.04
2026-06-01,2,TOY-09,Unit I,Liveaco Compact,4640.0
2026-06-01,2,TOY-10,Unit I,Excel Slub,4267.82
2026-06-01,2,TOY-11,Unit I,VSF Export,4831.14
2026-06-01,2,TOY-12,Unit I,Excel Slub,4128.98
2026-06-01,2,TOY-13,Unit I,Excel Slub,4261.84
2026-06-01,2,TOY-14,Unit I,VSF Export,4679.48
2026-06-01,2,TOY-15,Unit I,Excel Slub,4702.11
2026-06-01,2,TSU-01,Unit I,VSF Export,2993.34
2026-06-01,2,TSU-02,Unit I,Liveaco Compact,3124.49
2026-06-01,2,TSU-03,Unit I,Excel Slub,3175.59
2026-06-01,2,TSU-04,Unit I,Liveaco Compact,2758.64
2026-06-01,2,TSU-05,Unit I,VSF Export,3541.78
2026-06-01,2,TSU-06,Unit I,Excel Slub,2689.76
2026-06-01,2,TSU-07,Unit I,Excel Slub,2876.05
2026-06-01,2,TSU-08,Unit I,Liveaco Compact,2667.52
2026-06-01,2,TSU-09,Unit I,Liveaco Compact,2821.39
2026-06-01,2,TSU-10,Unit I,Liveaco Compact,2913.55
2026-06-01,2,SUL-01,Unit I,Excel Slub,480.38
2026-06-01,2,SUL-02,Unit I,Excel Slub,587.21
2026-06-01,2,SUL-03,Unit I,Excel Slub,539.35
2026-06-01,2,SUL-04,Unit I,Excel Slub,601.84
2026-06-01,2,SUL-05,Unit I,Excel Slub,523.02
2026-06-01,3,TOY-01,Unit I,Excel Slub,4825.7
2026-06-01,3,TOY-02,Unit I,Excel Slub,3782.49
2026-06-01,3,TOY-03,Unit I,Excel Slub,4222.67
2026-06-01,3,TOY-04,Unit I,Liveaco Compact,3600.66
2026-06-01,3,TOY-05,Unit I,Excel Slub,5019.4
2026-06-01,3,TOY-06,Unit I,Excel Slub,4054.24
2026-06-01,3,TOY-07,Unit I,Liveaco Compact,4301.68
2026-06-01,3,TOY-08,Unit I,VSF Export,4659.29
2026-06-01,3,TOY-09,Unit I,VSF Export,4501.43
2026-06-01,3,TOY-10,Unit I,Excel Slub,4097.44
2026-06-01,3,TOY-11,Unit I,VSF Export,5026.46
